trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",20,4,8.51282481904647,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,17,13.049363173395115,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,16,7.565174534024492,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,3,-28.619417457885152,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,8,20.841371377678076,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,15,-25.057489875829905,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,14,-0.4740198754532283,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,10,-17.512033612232614,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,1,23.152503574064088,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,6,18.61014279900757,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,9,-16.68115278270554,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",30,0,28.160317469471163,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",30,13,3.4151756012064896,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,13,7.8999698856996705,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,13,24.50214228332124,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",25,7,-5.039645969268289,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,10,27.64243879482356,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",25,11,8.183272444044173,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",25,7,-17.863837786891057,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",30,12,-20.937371609897987,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",35,15,25.896384196612534,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",30,15,24.898029953302725,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",30,14,-54.91237266508909,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,1,33.02867306473704,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,8,18.895424373455764,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",25,11,22.22646621412913,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",20,3,29.74091470264821,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",20,11,18.273234416619868,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",20,15,10.155309783398973,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,14,11.635219997191655,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,17,20.007028079013097,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,4,33.95955238599524,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,13,20.65659803950151,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,13,10.960308414138737,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,29.31268130095036,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",35,16,30.428058074890828,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,16,16.412346856084348,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,8,25.073878574654003,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,16,27.626008564069526,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,30.23504867706028,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",30,18,23.96443167475074,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,18,13.643603857852227,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",25,13,24.14397826778624,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",20,12,13.450681653502345,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",25,15,15.76468833595384,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",20,14,10.115637616545474,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",25,14,14.517579200251303,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",20,0,31.373617334619933,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",20,0,29.73008326189764,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.0, 'e': 0.0}",20,16,6.150837234401873,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",25,11,22.632095132960686,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0.0, 'e': 0.0}",20,4,30.81090251045597,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.0, 'e': 0.0}",20,10,14.20259720317575,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0.0, 'e': 0.0}",25,2,35.034088741737456,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",25,18,12.684731714006237,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0.0, 'e': 0.0}",25,14,19.07840285756766,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
